Object,Total,Date,Altitude 1,Altitude 2,Altitude 3,Altitude Average,Standard Deviation 
Polaris,7,16,32,26,30,29.33333333,3.055050463
Pegasus,7,16,50,40,30,40,10
Pegasus,8.5,16,25,28,30,27.66666667,2.516611478
Pegasus,9.25,16,28,26,27,27,1
BetelGeuse,31,16,62,63,64,63,1
BetelGeuse,32.5,16,65,60,64,63,2.645751311
Cassiopia,31,16,45,50,55,50,5
Cassiopia,32.5,16,40,45,43,42.66666667,2.516611478
Capella,31,16,90,87,85,87.33333333,2.516611478
Capella,32.5,16,80,83,88,83.66666667,4.041451884
Pleiades,31,16,86,83,82,83.66666667,2.081665999
Pleiades,32.5,16,70,75,75,73.33333333,2.886751346
BetelGeuse,55,17,40,45,38,41,3.605551275
Pleiades,55,17,75,80,70,75,5
Cassiopia,55,17,60,66,62,62.66666667,3.055050463
Pegasus,55,17,30,31,30,30.33333333,0.577350269
Capella,55,17,68,80,71,73,6.244997998
Polaris,55,17,30,35,38,34.33333333,4.041451884
BetelGeuse,56.25,17,45,40,47,44,3.605551275
Pleiades,56.25,17,62,64,66,64,2
Capella,56.25,17,78,76,80,78,2
Polaris,56.25,17,44,48,48,46.66666667,2.309401077
Pegasus,56.26,17,24,26,30,26.66666667,3.055050463
Cassiopia,56.25,17,50,48,58,52,5.291502622
BetelGeuse,57,17,48,50,58,52,5.291502622
Pleiades,57,17,78,80,70,76,5.291502622
Pegasus,57,17,25,28,32,28.33333333,3.511884584
Capella,57,17,72,77,80,76.33333333,4.041451884
Polaris,57,17,38,41,44,41,3
Cassiopia,57,17,50,48,45,47.66666667,2.516611478
Pleiades,57,22,73,70,72,71.66666667,1.527525232
BetelGeuse,177,22,40,38,41,39.66666667,1.527525232
Pegasus,177,22,32,28,30,30,2
Cassiopia,177,22,48,45,50,47.66666667,2.516611478
Capella,177,22,84,80,78,80.66666667,3.055050463
Polaris,177,22,40,40,40,40,0
Venus,177,22,10,7,7,8,1.732050808
BetelGeuse,178.5,22,40,41,50,43.66666667,5.507570547
Pleiades,178.5,22,66,66,70,67.33333333,2.309401077
Capella,178.5,22,80,80,74,78,3.464101615
Polaris,178.5,22,35,40,40,38.33333333,2.886751346
Cassiopia,178.5,22,51,52,50,51,1
Pegasus,178.5,22,22,28,24,24.66666667,3.055050463
Cassiopia,345,29,58,51,50,53,4.358898944
Pegasus,345,29,22,28,30,26.66666667,4.163331999
Pleiades,345,29,72,75,78,75,3
Venus,345,29,10,18,12,13.33333333,4.163331999
Polaris,345,29,42,45,44,43.66666667,1.527525232
Capella,345,29,82,83,80,81.66666667,1.527525232
BetelGeuse,345,29,52,58,55,55,3
